,OSEBuildingID,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,GFAParkingRate,GFABuildingsRate,LargestPropertyUseType,LargestGFARate,SecondLargestPropertyUseType,SecondLargestGFARate,ThirdLargestPropertyUseType,ThirdLargestGFARate,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Latitude,Longitude,Description,Zone,Haversine(km),GFAPerBuilding,GFAPerFloor
0,1,NonResidential,Hotel,1927,1.0,12.0,88434.0,0.0,100.0,Hotel,100.0,No information,0.0,No information,0.0,62.5,7103895.25,249.705,0.005990500000002896,-0.005929199999997081,Mayflower park hotel at 405 Olive way,North DownTown,0.8007980577936324,88434.0,7369.5
1,2,NonResidential,Hotel,1996,1.0,11.0,103566.0,14.55,85.45,Hotel,80.99,Restaurant,4.46,No information,0.0,56.0,8371084.0,279.685,0.006930500000002837,-0.0015692000000058215,Paramount Hotel at 724 Pine street,North DownTown,0.7795641491606202,103566.0,9415.09
2,3,NonResidential,Hotel,1969,1.0,41.0,956110.0,20.57,79.43,Hotel,79.12,Swimming Pool,0.0,No information,0.0,30.5,72858840.0,2075.38,0.007430499999998119,-0.0058292000000079724,5673-The Westin Seattle at 1900 5th Avenue,North DownTown,0.9346766806237417,956110.0,23319.76
3,5,NonResidential,Hotel,1926,1.0,10.0,61320.0,0.0,100.0,Hotel,100.0,No information,0.0,No information,0.0,28.5,17511952.0,1111.385,0.007960500000002924,-0.004549199999999587,HOTEL MAX at 620 STEWART ST,North DownTown,0.9485903282725666,61320.0,6132.0
4,8,NonResidential,Hotel,1980,1.0,18.0,185445.0,33.43,66.57,Hotel,66.57,Swimming Pool,0.0,No information,0.0,71.0,14500852.5,506.355,0.007540500000004613,-0.008629200000001447,WARWICK SEATTLE HOTEL (ID8) at 401 LENORA ST,North DownTown,1.0590032801749003,185445.0,10302.5
5,9,Nonresidential COS,Other,1999,1.0,2.0,126028.0,29.52,70.48,Police Station,70.48,No information,0.0,No information,0.0,,12069300.0,303.215,0.010130500000002485,-0.004589199999998073,West Precinct at 810 Virginia St,North DownTown,1.1778224954415424,126028.0,63014.0
6,10,NonResidential,Hotel,1926,1.0,11.0,83008.0,0.0,100.0,Hotel,98.01,No information,0.0,No information,0.0,26.0,6005818.5,192.3,0.007790499999998701,-0.000709200000002852,Camlin at 1619 9th Avenue,North DownTown,0.8678951724308849,83008.0,7546.18
7,11,NonResidential,Other,1926,1.0,8.0,102761.0,0.0,100.0,Social/Meeting Hall,100.0,No information,0.0,No information,0.0,,6362076.75,210.75,0.006870499999998003,0.0007307999999994763,Paramount Theatre at 911 Pine St,North DownTown,0.765927605803988,102761.0,12845.12
8,12,NonResidential,Hotel,1904,1.0,15.0,163984.0,0.0,100.0,Hotel,100.0,No information,0.0,No information,0.0,44.5,13178782.0,361.885,-0.0034494999999949982,-0.0005191999999993868,311wh-Pioneer Square at 612 2nd Ave,North DownTown,0.38553753633637994,163984.0,10932.27
10,15,NonResidential,Hotel,1969,1.0,11.0,153163.0,12.59,87.41,Hotel,87.41,No information,0.0,No information,0.0,39.0,15368248.5,633.945,0.0008304999999992901,-0.0021592000000083544,Hotel Monaco Seattle at 1101 4th Avenue,North DownTown,0.1863635728267205,153163.0,13923.91
